RUN	uk.gov.hmcts.reform.LandA.performance.simulations.mainSimulation	mainsimulation	1645465933442	 	3.3.1
USER	LAU Simulation	1	START	1645465933960	1645465933960
REQUEST	1	LAU_020_Homepage	LAU Homepage	1645465933979	1645465934115	OK	 
REQUEST	1	LAU_020_Homepage	LAU Homepage Redirect 1	1645465934124	1645465934146	OK	 
REQUEST	1	LAU_020_Homepage	LAU Homepage Redirect 2	1645465934146	1645465934226	OK	 
GROUP	1	LAU_020_Homepage	1645465933964	1645465934459	380	OK
REQUEST	1	LAU_030_Login	LAU Login	1645465939485	1645465940563	OK	 
REQUEST	1	LAU_030_Login	LAU Login Redirect 1	1645465940565	1645465940916	OK	 
REQUEST	1	LAU_030_Login	LAU Login Redirect 2	1645465940919	1645465941178	OK	 
GROUP	1	LAU_030_Login	1645465939481	1645465942937	3438	OK
REQUEST	1	LAU_040_CaseAuditSearch	LAU Case Audit Search	1645465947952	1645465949165	OK	 
REQUEST	1	LAU_040_CaseAuditSearch	LAU Case Audit Search Redirect 1	1645465949166	1645465949587	OK	 
GROUP	1	LAU_040_CaseAuditSearch	1645465947950	1645465949985	2018	OK
REQUEST	1	LAU_050_CaseAuditPage2	LAU Case Audit Page 2	1645465954987	1645465955616	OK	 
REQUEST	1	LAU_050_CaseAuditPage2	LAU Case Audit Page 2 Redirect 1	1645465955617	1645465955730	OK	 
GROUP	1	LAU_050_CaseAuditPage2	1645465954987	1645465956011	1016	OK
REQUEST	1	LAU_060_CaseActivityDownload	Case Activity CSV Download	1645465961007	1645465961869	OK	 
GROUP	1	LAU_060_CaseActivityDownload	1645465961006	1645465961871	862	OK
REQUEST	1	LAU_070_CaseSearchDownload	Case Search CSV Download	1645465966866	1645465967426	OK	 
GROUP	1	LAU_070_CaseSearchDownload	1645465966865	1645465967428	560	OK
REQUEST	1	LAU_080_LogonAuditSearch	LAU Logon Audit Search	1645465972437	1645465973330	OK	 
REQUEST	1	LAU_080_LogonAuditSearch	LAU Logon Audit Search Redirect 1	1645465973331	1645465973707	OK	 
GROUP	1	LAU_080_LogonAuditSearch	1645465972436	1645465975482	3026	OK
REQUEST	1	LAU_090_LogonAuditPage2	LAU Logon Audit Page 2	1645465980478	1645465981078	OK	 
REQUEST	1	LAU_090_LogonAuditPage2	LAU Logon Audit Page 2 Redirect 1	1645465981079	1645465981185	OK	 
GROUP	1	LAU_090_LogonAuditPage2	1645465980477	1645465981458	974	OK
REQUEST	1	LAU_100_LogonActivityDownload	Logon Activity CSV Download	1645465986466	1645465987220	OK	 
GROUP	1	LAU_100_LogonActivityDownload	1645465986465	1645465987221	754	OK
