RUN	uk.gov.hmcts.reform.LandA.performance.simulations.mainSimulation	mainsimulation	1645188647669	 	3.3.1
USER	LAU Simulation	1	START	1645188648449	1645188648449
REQUEST	1	LAU_020_Homepage	LAU Homepage	1645188648469	1645188648551	OK	 
REQUEST	1	LAU_020_Homepage	LAU Homepage Redirect 1	1645188648560	1645188648581	OK	 
REQUEST	1	LAU_020_Homepage	LAU Homepage Redirect 2	1645188648581	1645188648645	OK	 
GROUP	1	LAU_020_Homepage	1645188648453	1645188648869	290	OK
REQUEST	1	LAU_030_Login	LAU Login	1645188653893	1645188654360	OK	 
REQUEST	1	LAU_030_Login	LAU Login Redirect 1	1645188654361	1645188654552	OK	 
REQUEST	1	LAU_030_Login	LAU Login Redirect 2	1645188654554	1645188654609	OK	 
GROUP	1	LAU_030_Login	1645188653888	1645188654913	1009	OK
REQUEST	1	LAU_040_CaseAuditSearch	LAU Case Audit Search	1645188659917	1645188660830	OK	 
REQUEST	1	LAU_040_CaseAuditSearch	LAU Case Audit Search Redirect 1	1645188660831	1645188660972	OK	 
GROUP	1	LAU_040_CaseAuditSearch	1645188659916	1645188661226	1292	OK
REQUEST	1	LAU_050_CaseAuditPage2	LAU Case Audit Page 2	1645188666234	1645188666572	OK	 
REQUEST	1	LAU_050_CaseAuditPage2	LAU Case Audit Page 2 Redirect 1	1645188666572	1645188666695	OK	 
GROUP	1	LAU_050_CaseAuditPage2	1645188666234	1645188666947	705	OK
REQUEST	1	LAU_060_CaseActivityDownload	Case Activity CSV Download	1645188671946	1645188672798	OK	 
GROUP	1	LAU_060_CaseActivityDownload	1645188671945	1645188672799	852	OK
REQUEST	1	LAU_070_CaseSearchDownload	Case Search CSV Download	1645188677804	1645188678434	OK	 
GROUP	1	LAU_070_CaseSearchDownload	1645188677803	1645188678435	630	OK
REQUEST	1	LAU_080_LogonAuditSearch	LAU Logon Audit Search	1645188683435	1645188684261	OK	 
REQUEST	1	LAU_080_LogonAuditSearch	LAU Logon Audit Search Redirect 1	1645188684262	1645188684389	OK	 
GROUP	1	LAU_080_LogonAuditSearch	1645188683435	1645188684663	1205	OK
REQUEST	1	LAU_090_LogonAuditPage2	LAU Logon Audit Page 2	1645188689654	1645188689994	OK	 
REQUEST	1	LAU_090_LogonAuditPage2	LAU Logon Audit Page 2 Redirect 1	1645188689995	1645188690164	OK	 
GROUP	1	LAU_090_LogonAuditPage2	1645188689653	1645188690509	848	OK
REQUEST	1	LAU_100_LogonActivityDownload	Logon Activity CSV Download	1645188695514	1645188696139	OK	 
GROUP	1	LAU_100_LogonActivityDownload	1645188695513	1645188696140	625	OK
USER	LAU Simulation	1	END	1645188648449	1645188701145
