RUN	simulations.mainSimulation	mainsimulation	1646754647061	 	3.3.1
USER	LAU Simulation	1	START	1646754647626	1646754647626
REQUEST	1	adoption_010_Homepage	Adoption Homepage	1646754647649	1646754647709	OK	 
REQUEST	1	adoption_010_Homepage	Adoption Homepage Redirect 1	1646754647733	1646754647763	OK	 
REQUEST	1	adoption_010_Homepage	Adoption Homepage Redirect 2	1646754647765	1646754647822	OK	 
GROUP	1	adoption_010_Homepage	1646754647633	1646754648050	283	OK
REQUEST	1	Adoption_020_Login	Adoption Login	1646754650077	1646754650257	OK	 
REQUEST	1	Adoption_020_Login	Adoption Login Redirect 1	1646754650262	1646754650603	OK	 
REQUEST	1	Adoption_020_Login	Adoption Login Redirect 2	1646754650605	1646754650734	OK	 
REQUEST	1	Adoption_020_Login	Adoption Login Redirect 3	1646754650736	1646754650771	OK	 
GROUP	1	Adoption_020_Login	1646754650071	1646754650873	776	OK
REQUEST	1	Adoption_030_Apply_With	Adoption Applying With	1646754652871	1646754652910	OK	 
GROUP	1	Adoption_030_Apply_With	1646754652870	1646754652958	81	OK
REQUEST	1	Adoption_040_Adoption_Applying_Post	Adoption Applying Post	1646754654965	1646754655417	OK	 
REQUEST	1	Adoption_040_Adoption_Applying_Post	Adoption Applying Post Redirect 1	1646754655418	1646754655457	OK	 
GROUP	1	Adoption_040_Adoption_Applying_Post	1646754654963	1646754655499	527	OK
REQUEST	1	Adoption_050_Adoption_Applying_With_Redirect	Adoption Applying With Redirect	1646754657493	1646754657543	OK	 
GROUP	1	Adoption_050_Adoption_Applying_With_Redirect	1646754657492	1646754657592	93	OK
REQUEST	1	adoption_380_Placement_Order	Adoption Placement Order Details	1646754659604	1646754659954	OK	 
GROUP	1	adoption_380_Placement_Order	1646754659603	1646754660006	397	OK
REQUEST	1	adoption_390_Certificate_Placement_Order_Number	Adoption Placement Order Number	1646754662004	1646754662584	OK	 
REQUEST	1	adoption_390_Certificate_Placement_Order_Number	Adoption Placement Order Number Redirect 1	1646754662586	1646754662994	OK	 
GROUP	1	adoption_390_Certificate_Placement_Order_Number	1646754662003	1646754663038	1028	OK
REQUEST	1	adoption_400_Certificate_Placement_Court	Adoption Placement Court	1646754665033	1646754665657	OK	 
REQUEST	1	adoption_400_Certificate_Placement_Court	Adoption Placement Court Redirect 1	1646754665659	1646754665964	OK	 
GROUP	1	adoption_400_Certificate_Placement_Court	1646754665032	1646754666008	968	OK
REQUEST	1	adoption_410_Certificate_Placement_Date	Adoption Placement Date	1646754668011	1646754668218	OK	 
REQUEST	1	adoption_410_Certificate_Placement_Date	Adoption Placement Date Redirect 1	1646754668220	1646754668448	OK	 
GROUP	1	adoption_410_Certificate_Placement_Date	1646754668010	1646754668489	472	OK
REQUEST	1	adoption_420_Certificate_Placement_Summary	Adoption Placement Summary	1646754670493	1646754670859	OK	 
REQUEST	1	adoption_420_Certificate_Placement_Summary	Adoption Placement Summary Redirect 1	1646754670861	1646754671021	OK	 
REQUEST	1	adoption_420_Certificate_Placement_Summary	Adoption Placement Summary Redirect 2	1646754671023	1646754671212	OK	 
GROUP	1	adoption_420_Certificate_Placement_Summary	1646754670492	1646754671260	758	OK
REQUEST	1	adoption_430_Certificate_Placement_Type_2	Adoption Placement Type 2	1646754673251	1646754673435	OK	 
REQUEST	1	adoption_430_Certificate_Placement_Type_2	Adoption Placement Type 2 Redirect 1	1646754673437	1646754673745	KO	substring(What type of order is it?).find.exists, found nothing
GROUP	1	adoption_430_Certificate_Placement_Type_2	1646754673251	1646754673749	492	KO
USER	LAU Simulation	1	END	1646754647626	1646754673758
