RUN	uk.gov.hmcts.reform.LandA.performance.simulations.mainSimulation	mainsimulation	1645189605693	 	3.3.1
USER	LAU Simulation	1	START	1645189606267	1645189606267
REQUEST	1	LAU_020_Homepage	LAU Homepage	1645189606286	1645189606363	OK	 
REQUEST	1	LAU_020_Homepage	LAU Homepage Redirect 1	1645189606373	1645189606392	OK	 
REQUEST	1	LAU_020_Homepage	LAU Homepage Redirect 2	1645189606393	1645189606473	OK	 
GROUP	1	LAU_020_Homepage	1645189606271	1645189606697	309	OK
REQUEST	1	LAU_030_Login	LAU Login	1645189611725	1645189612621	OK	 
REQUEST	1	LAU_030_Login	LAU Login Redirect 1	1645189612622	1645189613136	OK	 
REQUEST	1	LAU_030_Login	LAU Login Redirect 2	1645189613138	1645189613189	OK	 
GROUP	1	LAU_030_Login	1645189611722	1645189613478	1743	OK
REQUEST	1	LAU_040_CaseAuditSearch	LAU Case Audit Search	1645189618474	1645189619460	OK	 
REQUEST	1	LAU_040_CaseAuditSearch	LAU Case Audit Search Redirect 1	1645189619461	1645189619542	OK	 
GROUP	1	LAU_040_CaseAuditSearch	1645189618473	1645189619831	1342	OK
REQUEST	1	LAU_050_CaseAuditPage2	LAU Case Audit Page 2	1645189624840	1645189625424	OK	 
REQUEST	1	LAU_050_CaseAuditPage2	LAU Case Audit Page 2 Redirect 1	1645189625424	1645189625503	OK	 
GROUP	1	LAU_050_CaseAuditPage2	1645189624840	1645189625729	882	OK
REQUEST	1	LAU_060_CaseActivityDownload	Case Activity CSV Download	1645189630739	1645189630954	OK	 
GROUP	1	LAU_060_CaseActivityDownload	1645189630738	1645189630958	215	OK
REQUEST	1	LAU_070_CaseSearchDownload	Case Search CSV Download	1645189635939	1645189636297	OK	 
GROUP	1	LAU_070_CaseSearchDownload	1645189635939	1645189636299	358	OK
REQUEST	1	LAU_080_LogonAuditSearch	LAU Logon Audit Search	1645189641299	1645189642115	OK	 
REQUEST	1	LAU_080_LogonAuditSearch	LAU Logon Audit Search Redirect 1	1645189642115	1645189642227	OK	 
GROUP	1	LAU_080_LogonAuditSearch	1645189641299	1645189642497	1183	OK
REQUEST	1	LAU_090_LogonAuditPage2	LAU Logon Audit Page 2	1645189647500	1645189647915	OK	 
REQUEST	1	LAU_090_LogonAuditPage2	LAU Logon Audit Page 2 Redirect 1	1645189647916	1645189648081	OK	 
GROUP	1	LAU_090_LogonAuditPage2	1645189647499	1645189648424	916	OK
REQUEST	1	LAU_100_LogonActivityDownload	Logon Activity CSV Download	1645189653430	1645189653962	OK	 
GROUP	1	LAU_100_LogonActivityDownload	1645189653429	1645189653963	532	OK
USER	LAU Simulation	1	END	1645189606267	1645189658962
USER	LAU Simulation	2	START	1645189806318	1645189806318
REQUEST	2	LAU_020_Homepage	LAU Homepage	1645189806369	1645189806547	OK	 
REQUEST	2	LAU_020_Homepage	LAU Homepage Redirect 1	1645189806551	1645189806575	OK	 
REQUEST	2	LAU_020_Homepage	LAU Homepage Redirect 2	1645189806576	1645189806646	OK	 
GROUP	2	LAU_020_Homepage	1645189806353	1645189806935	497	OK
REQUEST	2	LAU_030_Login	LAU Login	1645189811995	1645189812939	OK	 
REQUEST	2	LAU_030_Login	LAU Login Redirect 1	1645189812977	1645189813638	OK	 
REQUEST	2	LAU_030_Login	LAU Login Redirect 2	1645189813648	1645189813712	OK	 
GROUP	2	LAU_030_Login	1645189811980	1645189814056	1986	OK
REQUEST	2	LAU_040_CaseAuditSearch	LAU Case Audit Search	1645189819071	1645189820188	OK	 
REQUEST	2	LAU_040_CaseAuditSearch	LAU Case Audit Search Redirect 1	1645189820198	1645189820335	OK	 
GROUP	2	LAU_040_CaseAuditSearch	1645189819053	1645189820629	1509	OK
REQUEST	2	LAU_050_CaseAuditPage2	LAU Case Audit Page 2	1645189825640	1645189826227	OK	 
REQUEST	2	LAU_050_CaseAuditPage2	LAU Case Audit Page 2 Redirect 1	1645189826228	1645189826367	OK	 
GROUP	2	LAU_050_CaseAuditPage2	1645189825639	1645189826687	1039	OK
